"pathway","pval","padj","log2err","ES","NES","size"
"GO:0000014",0.386991869918699,0.836570026077619,0.0817515582532145,0.449368004720575,1.06367879460969,14
"GO:0000028",0.772151898734177,1,0.046788296531803,0.310201267075536,0.758820252734597,16
"GO:0000030",0.361757105943152,0.813826645067064,0.11331290842208,-0.397566784260444,-1.04707823539102,14
"GO:0000045",0.820338983050847,1,0.0808589150280032,-0.238393156251142,-0.782727598743073,36
"GO:0000049",0.766101694915254,1,0.0845557442441281,-0.242129276401638,-0.802799831670978,37
"GO:0000062",0.573232323232323,0.955216198179919,0.0843144320642653,-0.367631967561081,-0.892763462249185,11
"GO:0000070",0.0200878932008651,0.24409833859233,0.352487857583619,-0.502078282997252,-1.57207264858939,30
"GO:0000077",0.505405405405405,0.905619037988337,0.0952879846194844,-0.342859041973784,-0.936146497895252,16
"GO:0000082",0.0764258726350457,0.463966232068821,0.287805130535564,-0.544530972649931,-1.54153336090655,18
"GO:0000086",0.0407919582872446,0.337486905943059,0.321775918075361,-0.675476578210017,-1.60395149766659,10
"GO:0000118",0.860162601626016,1,0.0431036828790402,0.30408085261208,0.673032044527407,10
"GO:0000122",0.00314780194535843,0.0837465128058471,0.431707695803346,-0.329734668069631,-1.4554779880407,207
"GO:0000123",0.864640883977901,1,0.0676760401641789,-0.25869544328309,-0.71384907064016,17
"GO:0000124",0.824503311258278,1,0.0793434960134973,-0.252650012561177,-0.757823933408476,26
"GO:0000132",0.941538461538462,1,0.0687943095604775,-0.216433571387975,-0.633732602112937,22
"GO:0000137",0.341085271317829,0.792899674193911,0.117249716749792,-0.45726592122123,-1.08579983797255,10
"GO:0000138",0.855297157622739,1,0.0649407684612899,-0.290285559981098,-0.689296970024477,10
"GO:0000139",0.668421052631579,1,0.119887845115423,-0.228891759064599,-0.906798707429819,96
"GO:0000146",0.252525252525253,0.718174654344867,0.137250779610133,-0.49037685637775,-1.1908391509341,11
"GO:0000149",0.886554621848739,1,0.0347904098478036,0.248616424544475,0.722518793705532,38
"GO:0000151",0.764900662251656,1,0.0833634065110386,-0.263289797482977,-0.789737977577014,26
"GO:0000159",0.881313131313131,1,0.0623861492893626,-0.268363489062922,-0.651698271035909,11
"GO:0000165",0.713197969543147,1,0.0730744399126987,-0.315823693779813,-0.785463794995798,12
"GO:0000166",0.138328530259366,0.584718576844561,0.204294756516886,-0.475057304315011,-1.34252135825669,19
"GO:0000175",0.302325581395349,0.75265092879257,0.12563992130984,-0.427437763646262,-1.12574992936286,14
"GO:0000176",0.870801033591731,1,0.0640703750499722,-0.283166683030194,-0.672392855632585,10
"GO:0000178",0.994832041343669,1,0.0577308549299813,-0.182272328360224,-0.432814376526998,10
"GO:0000184",0.282420749279539,0.736245384008962,0.13880510939114,-0.406505060212579,-1.1487913576273,19
"GO:0000209",0.946450809464508,1,0.0256927476530375,0.209917273285172,0.69566818005224,81
"GO:0000212",0.227272727272727,0.684021211109875,0.160801401070022,-0.427390616974643,-1.22178081262313,20
"GO:0000220",0.6921875,1,0.051218434854034,0.334734101274273,0.823125203669251,17
"GO:0000226",0.2018779342723,0.666749802552272,0.216542836735348,-0.325087759078089,-1.17740285322944,61
"GO:0000228",0.485273492286115,0.894688139801067,0.0628003977812234,0.349429366622974,0.999355687045893,34
"GO:0000242",0.456852791878173,0.88288178093083,0.09754492162472,-0.395994289501046,-0.984850673189226,12
"GO:0000245",0.910891089108911,1,0.0411544018789903,0.278590335456758,0.627339129497342,11
"GO:0000266",0.858085808580858,1,0.0438879842863647,0.305926968593055,0.688896683556051,11
"GO:0000278",0.000331009088107613,0.015169673637846,0.49849310876659,-0.39974445126017,-1.66326178802314,131
"GO:0000281",0.015556114790434,0.213265026699625,0.380730400722792,-0.464485066334089,-1.57393409894546,43
"GO:0000287",0.338709677419355,0.792899674193911,0.151148761385484,-0.302459309273208,-1.06752958623449,48
"GO:0000289",0.424242424242424,0.858114563032596,0.101713902282311,-0.418491333416751,-1.01627117527624,11
"GO:0000307",0.124031007751938,0.573218414967416,0.204294756516886,-0.584680904948102,-1.38835282140159,10
"GO:0000338",0.665040650406504,1,0.0549073703290958,0.384848835408719,0.851798448682829,10
"GO:0000339",0.429268292682927,0.86284002689651,0.0762797180809272,0.470260921022632,1.04084379670221,10
"GO:0000340",0.35973597359736,0.812699298098824,0.0865399737444125,0.493788513793555,1.11192965790128,11
"GO:0000380",0.0950155763239875,0.525742873161685,0.179782316298324,0.561421538145969,1.39267100911499,18
"GO:0000381",0.776649746192893,1,0.107554375265169,-0.221051157134012,-0.86449178490734,89
"GO:0000387",0.34185303514377,0.793534397063107,0.0875697115548511,0.467113226091217,1.12332515382336,15
"GO:0000398",0.364772727272727,0.817172422549517,0.066436413766281,0.283278817906917,1.04443416286739,203
"GO:0000407",0.271317829457364,0.733856209150327,0.133554954557592,-0.444287013637204,-1.17012607859523,14
"GO:0000422",0.974160206718346,1,0.0587185879555941,-0.217780661711333,-0.517130615306261,10
"GO:0000423",0.165016501650165,0.609351256575102,0.199915231309662,-0.428051179108966,-1.27241481282425,25
"GO:0000462",0.412121212121212,0.854695249415912,0.115240003147781,-0.349931558107939,-1.00034873590349,20
"GO:0000463",0.480662983425414,0.894688139801067,0.0995791200495904,-0.34930127642045,-0.96386851032895,17
"GO:0000470",0.757723577235772,1,0.0488970772260102,0.346587456963478,0.76711329491457,10
"GO:0000502",0.982832618025751,1,0.0308468245215279,0.196154143420394,0.550788404501996,31
"GO:0000712",0.656330749354005,1,0.0782955249944794,-0.35456554264222,-0.841932868566667,10
"GO:0000723",0.997045790251108,1,0.0317090865085553,0.170922848263748,0.445187228323831,21
"GO:0000724",0.990716180371353,1,0.0266052822097738,0.181079711172547,0.552711427498777,48
"GO:0000727",0.0966921119592875,0.525742873161685,0.231126709673834,-0.57594499478902,-1.47248682634313,13
"GO:0000775",0.56401384083045,0.946316109510504,0.103576326612592,-0.284583115101736,-0.909471005894807,34
"GO:0000776",0.950600801068091,1,0.0290688186426821,0.216153336436098,0.651605445916738,45
"GO:0000779",0.980263157894737,1,0.0376142599562161,0.207220687262456,0.472063555746105,12
"GO:0000781",0.638977635782748,0.999922075898075,0.0559428593065705,0.363084387262113,0.873154092820368,15
"GO:0000785",0.0297823596792669,0.289520635912388,0.282013350011725,0.367341920232064,1.34885533211183,196
"GO:0000786",3.16408691871553e-06,0.000293250343820129,0.627256739718528,0.635348812916754,2.01814760539179,59
"GO:0000791",0.436363636363636,0.866246624662466,0.140406238523342,-0.278363506525954,-1.01267077320382,60
"GO:0000792",0.716417910447761,1,0.0937465422491719,-0.255864927944494,-0.866876994524196,42
"GO:0000793",0.145454545454545,0.590304568527919,0.204294756516886,-0.462366218958871,-1.32176550512004,20
"GO:0000900",0.486187845303867,0.89534478055959,0.0988903007520636,-0.346364365567041,-0.955764343295113,17
"GO:0000902",0.745714285714286,1,0.0437125833579551,0.289966086546636,0.811916228189886,30
"GO:0000915",0.952020202020202,1,0.0587185879555941,-0.224624280525662,-0.545481264096011,11
"GO:0000916",0.997416020671835,1,0.057609110864425,-0.178559373523257,-0.423997787375522,10
"GO:0000922",0.485148514851485,0.894688139801067,0.110122263835536,-0.3027345404599,-0.955890499542701,31
"GO:0000930",0.276649746192893,0.734997136077244,0.130777137971974,-0.46804440156624,-1.16404164450392,12
"GO:0000932",1,1,0.0289274314524646,0.132731847166696,0.385739816976705,38
"GO:0000956",0.671834625322997,1,0.0770736734944102,-0.309993303378759,-0.816434505937571,14
"GO:0000974",0.403553299492386,0.852832005778375,0.105125131597001,-0.416621806958071,-1.03615197977971,12
"GO:0000976",0.983957219251337,1,0.096240602328129,-0.181987707621448,-0.710621672502665,93
"GO:0000977",0.285714285714286,0.737278870999801,0.213927855492356,-0.250074451236652,-1.05948742509235,150
"GO:0000978",0.00107430347242448,0.0391632447674743,0.45505986738723,-0.293552087656115,-1.37377159915961,349
"GO:0000981",0.0443725123026488,0.345522131542155,0.321775918075361,-0.2533067425522,-1.19429344487426,387
"GO:0000987",0.906870229007634,1,0.037770500132479,0.259986818932988,0.653581918756284,19
"GO:0000993",0.900958466453674,1,0.0401660980049421,0.267200353340764,0.642569855128778,15
"GO:0001046",0.472081218274112,0.894000323626535,0.0956031492204301,-0.391924947463721,-0.974730087233438,12
"GO:0001054",0.515447154471545,0.909622731614136,0.0670512579829467,0.43598518048588,0.964980184991778,10
"GO:0001056",0.80650406504065,1,0.0460457683018055,0.33070636073292,0.731963147927101,10
"GO:0001223",0.13563829787234,0.582677057416432,0.197822021315103,-0.503185783611233,-1.35358464502635,15
"GO:0001227",0.0087187565190527,0.153452668643626,0.380730400722792,-0.474960356651476,-1.68496538513873,53
"GO:0001228",0.118186734613804,0.570762083621627,0.287805130535564,-0.324240360758406,-1.26608676193826,93
"GO:0001510",0.126262626262626,0.573218414967416,0.199915231309662,-0.585028973163047,-1.4206938941194,11
"GO:0001522",0.690355329949239,1,0.0747385227439092,-0.323035741281204,-0.803400391621388,12
"GO:0001558",0.49492385786802,0.902111213659437,0.0928481214159878,-0.380641564417234,-0.946667946733416,12
"GO:0001578",0.0162528407072145,0.215450880118777,0.352487857583619,-0.630262772364563,-1.65993351971733,14
"GO:0001653",0.334959349593496,0.789214419319698,0.0897104652742981,0.514765794516336,1.13934788119685,10
"GO:0001654",0.400576368876081,0.850937350684392,0.11378726182188,-0.364269616220395,-1.02943315574318,19
"GO:0001664",0.208869814020029,0.675101265822785,0.110564716336619,0.42661137863103,1.19789771697554,31
"GO:0001666",9.10644430471389e-05,0.0052166916659861,0.538434096309916,0.677011118923028,1.92977101227439,33
"GO:0001671",0.763578274760383,1,0.0815265143256594,-0.268499365302513,-0.790942957009931,23
"GO:0001673",0.269918699186992,0.733856209150327,0.102449405629826,0.498038303447389,1.1788840698834,14
"GO:0001676",0.0283104560275125,0.284577041399837,0.352487857583619,-0.54032413721876,-1.58210678347239,22
"GO:0001682",0.27390180878553,0.734015236900757,0.132846300606183,-0.492568300203973,-1.16962702823666,10
"GO:0001700",0.131487889273356,0.582406337679485,0.231126709673834,-0.406546208584308,-1.29395648190091,33
"GO:0001708",0.74455732946299,1,0.0445070537769277,0.301377707401284,0.805401572276264,23
"GO:0001709",0.66751269035533,1,0.0764767053228531,-0.330933021418707,-0.82304118409237,12
"GO:0001710",0.847545219638243,1,0.0653834195468773,-0.293049222358757,-0.695859418749847,10
"GO:0001736",0.227692307692308,0.684021211109875,0.161978948883402,-0.417059747120651,-1.20734468100655,21
"GO:0001737",0.28,0.735786009477396,0.144630528034484,-0.38992077377395,-1.14171523852322,22
"GO:0001738",0.287531806615776,0.737877623650261,0.128142916898415,-0.448299633505459,-1.14614296601892,13
"GO:0001745",0.00818439422300415,0.147503014985378,0.380730400722792,-0.404876964385425,-1.58340184302779,89
"GO:0001751",0.689542483660131,1,0.0883594442500905,-0.266339538752112,-0.833956335304873,29
"GO:0001752",0.775193798449612,1,0.0697792517076235,-0.286516913916318,-0.754604349534008,14
"GO:0002009",0.55470737913486,0.941535064690281,0.0865399737444125,-0.359569473345338,-0.919291455688575,13
"GO:0002052",0.721030042918455,1,0.0453152441270267,0.301270489009863,0.820048476277712,25
"GO:0002098",0.685279187817259,1,0.0751181635276301,-0.325935230782565,-0.810611516284118,12
"GO:0002121",0.515957446808511,0.909622731614136,0.0931454575337804,-0.343221336827793,-0.92327555051606,15
"GO:0002161",0.940568475452196,1,0.0603786357920401,-0.245005851300639,-0.581778132370054,10
"GO:0002164",0.341085271317829,0.792899674193911,0.117249716749792,-0.458700121626679,-1.08920541554915,10
"GO:0002168",0.939393939393939,1,0.0681513438679483,-0.216597230084307,-0.619186124528383,20
"GO:0002181",0.373464373464373,0.823984669926898,0.069119845655101,0.307442382246276,1.04907495089823,101
"GO:0002225",0.686153846153846,1,0.0852884689790502,-0.283464420169592,-0.83000360548729,22
"GO:0002230",0.850253807106599,1,0.0643583367917361,-0.282496732223403,-0.702578558025494,12
"GO:0002385",0.979695431472081,1,0.057609110864425,-0.21517790831139,-0.535154454178972,12
"GO:0003007",0.893092105263158,1,0.0419081748591401,0.281767784514247,0.641887178397544,12
"GO:0003015",0.696969696969697,1,0.0739901439101341,-0.332298136645963,-0.806958211330501,11
"GO:0003333",0.315972222222222,0.769073512055303,0.144630528034484,-0.323493870705268,-1.07108320830533,38
"GO:0003341",0.289230769230769,0.739914120966753,0.142056643575821,-0.401646341240384,-1.1627244707508,21
"GO:0003383",0.7375,1,0.0483117581055019,0.324223381292261,0.797278902103417,17
"GO:0003676",0.950819672131147,1,0.126253987849115,-0.188136899510814,-0.825388773087268,183
"GO:0003677",0.976744186046512,1,0.219250346703755,-0.182183672077694,-0.875353908355398,494
"GO:0003678",0.551515151515152,0.937108371854135,0.096887770327544,-0.319152051488366,-0.91235941391977,20
"GO:0003682",1,1,0.120985142145252,-0.15754985678739,-0.684070416781272,173
"GO:0003684",0.868537666174298,1,0.0382416816260774,0.271787536776404,0.707900327074711,21
"GO:0003690",6.07096207045268e-13,4.86891158050305e-10,0.921426003494898,0.822211280789056,2.44804563204878,42
"GO:0003697",0.145522388059701,0.590304568527919,0.227987202850442,-0.364016932653522,-1.23329878412667,42
