"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0016076",10831.5420583447,-0.941619739174569,0.0839226503577923,-11.22009058532,3.24937436398345e-29,4.85196580030008e-25
"FBgn0264726",797.088779619798,1.52022410597204,0.136517155003092,11.1357734193744,8.40125465625139e-29,6.27237672635728e-25
"FBgn0036145",841.290664853671,0.630126261124082,0.0569188928590963,11.0705993998156,1.74231299312558e-28,8.6720725377837e-25
"FBgn0045823",51967.788736703,-0.194885240576363,0.0193518176161648,-10.0706426880322,7.44897233138594e-24,2.78070137130637e-20
"FBgn0036332",1196.28144087043,0.560545505234761,0.0577893612529421,9.69980448098867,3.02076938888765e-22,9.02122570297409e-19
"FBgn0058439",1659.57997519403,0.486253515053244,0.0518275861141997,9.38213703377592,6.46488872846875e-21,1.60889530822492e-17
"FBgn0266465",6479.17927838121,-0.244697898838047,0.0264281583211879,-9.25898414350984,2.06386379716228e-20,4.40251631703244e-17
"FBgn0284080",1421.54036307779,0.460566301603363,0.0500084943534026,9.20976141270339,3.26850610739593e-20,6.10066664945449e-17
"FBgn0261363",414.930480362719,-0.81587035387879,0.0887453303839081,-9.19338910959453,3.80655112640985e-20,6.3154912688391e-17
"FBgn0033451",6266.26298581371,-0.315321015577861,0.0345359825834499,-9.13021700818688,6.83621228464506e-20,1.0207832183432e-16
"FBgn0085285",245.412650840312,0.856691955566926,0.0979200541323914,8.74889176846909,2.15458184376633e-18,2.92474691737444e-15
"FBgn0285991",19442.5812084722,0.399026052155332,0.0458569625585362,8.70153690720306,3.27419265024419e-18,4.06857384494723e-15
"FBgn0265590",1252.78571280651,0.614890810839466,0.0707372138657146,8.69260714744514,3.54215510208371e-18,4.06857384494723e-15
"FBgn0025676",840.824985569367,0.449910594360141,0.0521386608390334,8.62911680353932,6.18275278881507e-18,6.59434747447048e-15
"FBgn0259226",557.769593388986,-0.740412224850172,0.0863588033351441,-8.5736739771249,1.00234923635399e-17,9.97805253149187e-15
"FBgn0052582",337.906090712971,0.675393106394233,0.0793230733435477,8.5144596386112,1.67368903819602e-17,1.56197029489643e-14
"FBgn0039118",2847.30201323562,-0.368036880718119,0.043417087242562,-8.47677502320631,2.31522035775279e-17,2.0335806107038e-14
"FBgn0013278",1206.49238932091,2.11842205573863,0.252148969575126,8.40147020750549,4.40923048444365e-17,3.47255089852792e-14
"FBgn0010416",5603.51360817766,-0.211804121338949,0.0252111114301607,-8.40122110148473,4.41859543745181e-17,3.47255089852792e-14
"FBgn0013276",5017.38580921685,2.14138595610704,0.256260064594923,8.35629991544715,6.47160527146702e-17,4.83170049567728e-14
"FBgn0260718",72.7355062972382,1.36912438865233,0.164932975610943,8.30109554248223,1.03155692348611e-16,7.02126627730189e-14
"FBgn0013275",4651.3001434239,2.12776054288245,0.256333222291587,8.30075993997397,1.03447534222235e-16,7.02126627730189e-14
"FBgn0031635",5432.22973628064,-0.238435814824773,0.0288581275743482,-8.26234530325927,1.42837789551126e-16,8.90337192970642e-14
"FBgn0035415",1392.13569258219,0.432142203591392,0.0523040071577487,8.26212420566655,1.4310268303841e-16,8.90337192970642e-14
"FBgn0020307",2377.96204840058,-0.433932783164912,0.0532025301252647,-8.15624336179545,3.45605733962262e-16,2.0642339278098e-13
"FBgn0026562",16324.9148479174,-0.368397103134576,0.0459958909233147,-8.00934813391865,1.15318042311436e-15,6.62280387613218e-13
"FBgn0265189",2342.80991859344,-0.255816514768383,0.0319996004054924,-7.99436591478419,1.30242414059854e-15,7.20288787682127e-13
"FBgn0262460",66.1803061825063,-0.77986998662957,0.0979701017637081,-7.96028556253336,1.71642681129157e-15,9.15345898078778e-13
"FBgn0029870",34524.9962694056,-0.196464983233922,0.0247137908697756,-7.94960936058555,1.87100551867049e-15,9.63374289820265e-13
"FBgn0266670",4115.85485022072,-0.242586452691392,0.0306372544369311,-7.91802193603129,2.41318798218932e-15,1.20112409833503e-12
"FBgn0013981",44269.2117133238,0.282088596875537,0.0357459890516063,7.89147550144121,2.98634460092832e-15,1.43845476067941e-12
"FBgn0263388",67.1691580054885,1.12579384516117,0.14284404119553,7.88127972114806,3.24044973917474e-15,1.51207485954241e-12
"FBgn0013279",1077.64386283084,1.8588643721341,0.236155589812654,7.87135453202174,3.50821901495282e-15,1.58741594943259e-12
"FBgn0031637",15238.5852091823,-0.199250350125188,0.0253469510779494,-7.86091982078769,3.81322824437759e-15,1.62748069898827e-12
"FBgn0037552",955.045314044879,0.484235430868214,0.0616007435752942,7.86086989804491,3.81474849079758e-15,1.62748069898827e-12
"FBgn0051354",898.949200339293,1.98792440617932,0.255029712543154,7.79487372806782,6.44729186433e-15,2.63290390494027e-12
"FBgn0023542",5056.76915491212,-0.261512130995792,0.0335633935729546,-7.79158789254607,6.61722578290057e-15,2.63290390494027e-12
"FBgn0028490",29129.1717941139,-0.25929496459581,0.0332855760601511,-7.79000982669586,6.70039836510382e-15,2.63290390494027e-12
"FBgn0001223",3646.7108637749,1.72078710890109,0.221102413960985,7.78276038725081,7.09589538031314e-15,2.71681820048297e-12
"FBgn0024973",5006.88593192821,-0.157468638983153,0.020539883710599,-7.66648152452277,1.76778614743749e-14,6.59914568838413e-12
"FBgn0283469",12016.300251578,-0.238662177953334,0.0311567685253817,-7.66004272101932,1.85871244068354e-14,6.76934004006991e-12
"FBgn0259101",7516.73838895066,-0.491038465061041,0.0642942682038079,-7.63735988882378,2.21721108328355e-14,7.88271330847379e-12
"FBgn0010406",5829.19153353821,-0.167055609453482,0.0219249059865472,-7.61944473358224,2.5476926100065e-14,8.84701070991094e-12
"FBgn0032922",1706.34124666032,-0.18608524207879,0.024433420448553,-7.61601276704632,2.61631821472344e-14,8.87883263232963e-12
"FBgn0030643",711.494157817187,0.961285009573358,0.126339010478426,7.60877424900766,2.76707582369851e-14,9.18177248877025e-12
"FBgn0030011",1111.4411882078,-0.346783685806156,0.0457330507955232,-7.58278050061998,3.38226796819926e-14,1.09791359350329e-11
"FBgn0036702",23889.7626465261,-0.184883656792484,0.0246042652202937,-7.51429295437732,5.7219325766417e-14,1.79550604318599e-11
"FBgn0030583",151.865445911,0.766128110602313,0.10197151748769,7.51315788445334,5.7717847624516e-14,1.79550604318599e-11
"FBgn0267485",1954.84231503559,-0.499335302423584,0.0669178372482391,-7.46191632839604,8.52730333980056e-14,2.59856517285514e-11
"FBgn0031174",9591.57143624503,-0.238559113075505,0.0320442534345474,-7.44467689231013,9.71819755927684e-14,2.90224251910243e-11
"FBgn0013277",263.766950042673,1.940120565083,0.261570296526855,7.41720520580523,1.19617542685708e-13,3.50221401447645e-11
"FBgn0034110",7179.73887125713,-0.237746636617256,0.0321376876660509,-7.39775179495576,1.38509430177295e-13,3.97735156039879e-11
"FBgn0031623",575.551810229051,0.761911751265938,0.10311418643148,7.389009966851,1.47926081437653e-13,4.16760801514534e-11
"FBgn0031478",10472.3170194203,-0.263411527642797,0.0356995535559862,-7.3785664358435,1.60002946148036e-13,4.42437776274533e-11
"FBgn0000455",9703.06514953486,-0.225836940234953,0.0309254613861255,-7.3026215329571,2.82214193350434e-13,7.6618587911067e-11
"FBgn0001230",5422.64510882243,0.718010014211886,0.0994326050655794,7.22107213965009,5.15792799909617e-13,1.37532465861614e-10
"FBgn0001224",65087.4585017767,0.596406965130317,0.0827333723430311,7.20878344783868,5.64539569376836e-13,1.47889558770788e-10
"FBgn0034744",3577.51105216044,0.245545213203995,0.0342469301993379,7.1698459328989,7.50822145655132e-13,1.90237671918998e-10
"FBgn0266884",508.607982233252,-0.602210822646365,0.083993979042521,-7.16969036960974,7.51675773052564e-13,1.90237671918998e-10
"FBgn0040778",845.994186806685,0.4088059942115,0.057184889000177,7.14884651101158,8.75101106743769e-13,2.17783495431633e-10
"FBgn0260747",16836.5083715853,0.298472155851564,0.0420887728151575,7.09149105302673,1.32674658055746e-12,3.24770162965312e-10
"FBgn0032815",3765.51025001718,0.311344094312416,0.0441310380362296,7.05499141118811,1.72611384191578e-12,4.1571503044333e-10
"FBgn0002563",406373.818565418,1.85062637810204,0.263150227637582,7.03258513099512,2.02741526181762e-12,4.80529598245408e-10
"FBgn0034878",6778.71849327931,-0.235420470833745,0.0335061081196414,-7.02619564149681,2.12240813671092e-12,4.95184348396366e-10
"FBgn0036146",464.715477923539,0.470791518696858,0.0672658079727616,6.99897218045012,2.57847048544188e-12,5.83604358805794e-10
"FBgn0259229",774.350439770579,-0.829872444009983,0.118571612730371,-6.99891335624397,2.57955315303927e-12,5.83604358805794e-10
"FBgn0031289",607.287000266447,-0.553026406208857,0.0790645950059756,-6.99461505073238,2.65988232943148e-12,5.92796461836878e-10
"FBgn0035771",20080.6123096921,-0.194771756921892,0.027965997428372,-6.96459181978943,3.29357273097232e-12,7.23229823807038e-10
"FBgn0032231",2743.39749232469,0.303765270855957,0.0437013817088478,6.95093058795569,3.62884399575695e-12,7.8530287745859e-10
"FBgn0086346",15518.6226363514,-0.207517630938159,0.0300544361807951,-6.90472546847389,5.03006074078491e-12,1.07298381402e-09
"FBgn0037297",3058.8597564957,-0.212900805213104,0.030925006777675,-6.88442226524584,5.80225269485032e-12,1.21265082570113e-09
"FBgn0033367",23568.7845440796,-0.465399675963943,0.067612647016113,-6.88332281759406,5.84723141243511e-12,1.21265082570113e-09
"FBgn0028984",8991.69295814246,-0.242680915552894,0.0352809650350729,-6.87852260593339,6.04764548522643e-12,1.23703345733426e-09
"FBgn0032251",1462.34975141599,0.386749697304538,0.056635241466295,6.82878164357614,8.56388061386513e-12,1.7280522341383e-09
"FBgn0263234",4073.00333359906,-0.422949959162659,0.0624218864324184,-6.77566769182103,1.23833015160906e-11,2.46266924849652e-09
"FBgn0058178",3927.5670833352,0.384337102179923,0.0567378112878313,6.77391484543134,1.25343465634701e-11,2.46266924849652e-09
"FBgn0011742",14437.2602766575,-0.20280936446519,0.0300498407396512,-6.74909947850674,1.48765570209374e-11,2.88489284982646e-09
"FBgn0036836",431.033053805943,0.610942817689154,0.0906540330433458,6.73927896177586,1.59174540364925e-11,3.04717209837059e-09
"FBgn0266327",65.9548051708273,0.887538627360885,0.131759846417132,6.73603264951503,1.62769726828158e-11,3.07655387468109e-09
"FBgn0003885",16776.9783415874,-0.323199998784661,0.0480580192271965,-6.72520432556152,1.75346210293327e-11,3.27283701512495e-09
"FBgn0033356",4218.66895633933,0.265862394954848,0.0395674183869731,6.71922520581678,1.82693364660039e-11,3.36787323593049e-09
"FBgn0051793",4525.20990788062,-0.271231218646769,0.0404452183194736,-6.70613807803768,1.99842636354479e-11,3.63908566590864e-09
"FBgn0266084",40266.3153226384,-0.730735671099305,0.109296708528368,-6.68579759572215,2.29670279956544e-11,4.08785519671846e-09
"FBgn0029818",7141.12530174711,-0.162958322745325,0.0243744829177963,-6.68561147717089,2.29962387171411e-11,4.08785519671846e-09
"FBgn0052845",652.047053386511,0.490865792594064,0.0734845554706896,6.67984979224448,2.39187279809171e-11,4.2018170142477e-09
